weekly_self_study_hours,attendance_percentage,class_participation,total_score
8.5,73.4,3.6,63.0
16.7,75.5,6.6,91.6
21.8,91.5,6.5,100.0
18.5,77.0,7.3,87.0
16.3,95.0,6.5,91.5
22.0,67.2,9.4,99.2
0.0,89.0,6.1,60.7
19.7,84.5,6.8,100.0
10.4,98.1,6.5,87.8
2.2,95.2,5.0,52.6
18.6,89.1,5.0,81.3
24.6,100.0,7.1,100.0
14.0,86.1,4.9,100.0
21.7,95.7,7.7,97.4
26.3,82.3,5.9,100.0
24.2,91.9,6.3,100.0
26.5,74.2,4.7,100.0
20.2,80.6,5.0,100.0
15.5,82.4,9.2,97.8
3.8,74.1,8.9,49.3
13.3,73.5,4.0,93.1
9.1,75.5,5.4,44.6
30.2,82.7,8.6,100.0
13.8,100.0,5.3,96.9
15.9,88.6,0.0,100.0
18.9,93.9,3.4,100.0
15.3,84.0,5.7,89.0
26.9,98.0,5.2,100.0
10.6,93.7,7.3,73.5
16.4,76.6,3.9,76.9
9.8,86.9,9.6,65.5
5.8,79.0,8.5,58.8
10.7,95.6,8.2,80.2
14.7,77.1,6.9,84.3
12.0,90.2,7.3,64.5
10.2,88.0,8.9,66.3
5.2,91.5,4.6,56.0
14.4,90.9,4.6,79.5
4.5,100.0,5.7,40.7
20.3,85.2,6.2,73.2
15.6,79.0,6.6,83.1
4.8,81.4,7.1,63.0
12.8,79.9,6.0,82.9
9.7,72.4,7.9,76.4
17.2,88.7,6.6,98.8
24.4,70.3,4.8,100.0
1.9,95.8,4.3,65.2
15.8,87.0,6.5,71.0
13.9,84.6,4.6,92.8
19.7,93.1,5.9,100.0
16.5,67.3,9.8,97.8
9.7,74.4,6.2,53.1
12.8,77.3,4.3,83.7
9.4,72.9,3.8,79.4
22.5,98.7,8.7,94.7
15.1,88.1,6.1,90.5
28.3,81.9,8.6,100.0
14.6,80.0,4.5,88.4
10.0,100.0,5.8,61.9
4.4,78.7,9.5,61.3
2.4,84.3,7.8,60.9
3.9,86.4,10.0,57.8
16.9,74.5,3.9,99.1
18.6,84.5,2.0,93.9
3.9,79.3,5.4,65.6
21.3,89.9,5.8,95.5
11.6,98.8,8.6,78.7
16.0,86.7,3.3,100.0
26.3,81.8,8.2,100.0
21.3,84.6,6.0,100.0
13.1,85.4,5.7,96.6
8.8,100.0,7.3,76.9
0.0,81.5,5.6,36.6
10.0,96.0,7.8,87.1
13.5,78.5,8.3,89.1
8.1,79.3,5.4,77.6
14.1,86.8,8.2,88.1
15.5,80.9,5.4,86.5
13.4,100.0,6.0,91.3
10.4,87.7,6.0,74.6
16.2,83.0,6.7,85.4
18.1,74.5,0.4,100.0
7.4,90.6,2.9,85.7
24.9,74.3,7.6,100.0
14.3,86.8,5.9,81.4
15.1,78.4,2.7,86.3
20.0,82.1,8.4,88.7
16.6,71.8,6.2,88.8
21.7,79.6,8.7,99.2
17.0,83.6,4.3,100.0
10.7,79.5,2.9,90.3
17.5,74.1,5.7,100.0
7.0,87.2,5.6,62.5
15.8,90.9,3.8,100.0
14.8,85.1,4.9,72.7
13.5,83.9,7.5,77.2
14.1,93.0,10.0,87.2
1.8,100.0,1.5,55.9
11.2,77.5,6.3,77.5
15.6,80.8,6.6,96.1
16.1,73.7,6.1,94.3
7.8,80.9,5.6,71.7
23.9,86.4,3.7,100.0
8.9,74.5,9.1,74.1
21.8,86.8,3.4,100.0
18.0,79.1,2.4,100.0
10.5,67.7,8.2,79.0
27.4,96.8,5.6,100.0
6.6,82.3,6.5,63.0
21.4,80.9,6.3,100.0
22.0,80.1,7.1,100.0
10.3,81.4,8.1,73.4
24.7,80.7,1.2,100.0
13.2,88.4,3.4,99.1
17.0,82.5,6.2,98.7
16.8,77.7,9.3,98.0
14.1,87.7,8.9,89.4
20.7,80.2,5.7,100.0
20.6,95.9,6.9,100.0
2.8,100.0,6.2,71.7
24.1,88.3,4.5,100.0
3.4,62.3,9.0,79.5
22.2,100.0,6.1,96.4
22.9,99.8,4.7,100.0
7.4,93.1,5.7,75.0
12.1,91.6,5.7,100.0
7.3,84.6,5.5,66.4
13.5,83.4,8.8,73.8
12.8,96.2,8.4,77.0
20.5,89.0,8.2,100.0
24.2,89.7,7.7,100.0
24.8,73.7,3.3,100.0
11.1,91.9,7.2,71.7
13.5,82.3,5.3,78.5
3.2,87.9,4.6,89.1
9.4,85.2,7.4,71.6
21.8,83.8,3.0,96.4
26.3,73.9,6.4,100.0
6.4,82.7,5.2,63.2
10.9,97.3,6.8,57.2
14.8,87.0,5.6,88.0
17.0,92.7,7.7,90.5
9.3,93.5,7.1,74.3
18.0,82.5,5.7,86.1
11.7,66.2,4.8,86.1
14.9,90.9,6.8,88.6
18.8,84.2,6.9,89.0
15.0,80.8,4.2,100.0
11.9,96.8,6.7,67.3
14.2,80.2,5.4,79.2
14.4,91.6,7.8,97.2
12.4,80.8,3.3,82.9
13.2,91.3,5.6,69.6
26.2,89.7,6.9,100.0
18.9,87.0,4.1,100.0
12.9,84.7,7.7,81.9
19.9,84.6,8.0,100.0
12.7,100.0,5.9,95.5
23.2,80.7,6.0,97.5
17.6,63.4,5.4,77.8
14.2,77.6,7.7,99.0
18.1,72.0,9.7,87.4
4.0,94.2,3.1,59.3
7.1,88.8,6.8,86.8
6.6,86.7,5.0,63.8
16.0,90.4,5.7,100.0
27.1,96.5,7.2,100.0
30.6,81.1,3.2,100.0
19.5,78.9,7.2,100.0
18.5,77.0,8.4,100.0
2.4,100.0,6.1,42.2
11.2,88.2,5.0,84.9
9.5,83.7,2.3,66.0
10.7,92.3,6.2,63.8
13.8,64.7,6.8,76.1
11.7,82.7,5.5,84.8
1.1,100.0,4.9,62.5
20.2,89.9,2.5,88.8
7.5,81.2,5.5,88.8
16.7,68.4,5.3,73.8
29.5,91.7,5.5,100.0
8.6,83.0,4.0,82.4
0.0,73.1,4.8,59.2
13.0,70.0,5.1,76.7
22.7,84.0,7.4,99.5
28.7,68.5,5.4,100.0
6.4,70.8,7.2,69.9
18.5,84.0,5.3,93.4
11.7,87.0,5.0,60.1
14.3,67.8,4.8,76.4
33.5,74.4,9.6,100.0
4.5,88.7,1.8,74.1
16.8,79.4,5.9,100.0
18.3,97.2,4.3,94.8
22.6,65.9,3.3,100.0
15.7,87.4,5.0,92.9
17.2,72.0,10.0,100.0
12.3,94.9,5.4,71.0
16.9,87.4,6.3,98.6
12.6,77.0,5.3,67.5
19.4,93.2,5.9,84.3
12.4,100.0,5.2,66.4
17.6,83.9,6.9,92.2
14.8,93.7,8.6,95.7
22.9,73.5,3.4,100.0
14.6,95.7,6.9,68.6
2.6,89.9,6.5,54.9
23.8,78.1,4.5,100.0
8.7,77.7,10.0,62.9
10.4,80.2,6.2,66.3
10.8,95.8,8.1,73.0
24.6,85.6,8.9,100.0
0.1,90.4,9.1,54.9
37.0,86.8,7.5,100.0
22.4,96.4,5.6,100.0
16.6,100.0,8.7,87.5
14.6,75.1,3.4,75.6
17.0,94.9,6.9,92.9
18.6,79.0,7.4,76.0
19.5,92.4,6.9,100.0
18.9,71.9,6.0,87.2
15.6,76.6,7.9,95.9
13.6,98.4,6.8,80.0
13.9,89.1,7.7,70.0
13.6,90.2,3.4,93.3
22.9,84.4,5.1,100.0
19.2,82.5,7.2,100.0
0.0,93.4,5.0,51.4
19.6,88.1,3.7,94.5
16.4,86.5,5.2,97.2
14.9,77.7,6.0,81.7
12.3,79.7,5.3,62.5
22.9,71.4,4.0,100.0
21.6,81.0,6.1,90.0
9.6,100.0,7.6,67.5
17.8,85.7,7.5,100.0
8.2,100.0,2.4,45.7
5.3,86.4,6.0,44.4
10.6,96.3,4.6,71.0
21.0,69.1,5.1,100.0
21.7,75.6,9.5,100.0
18.6,91.9,5.7,100.0
20.1,86.5,6.9,100.0
18.6,100.0,4.3,100.0
10.5,87.7,8.4,71.4
18.0,83.0,6.4,90.6
20.6,83.5,6.9,99.1
20.3,91.6,4.4,100.0
23.3,83.1,7.9,100.0
20.0,74.2,9.1,100.0
17.5,87.7,4.5,100.0
22.5,81.5,6.2,100.0
14.8,98.0,8.8,75.0
8.8,92.5,4.7,51.5
13.9,90.2,6.1,85.6
9.8,89.0,9.1,83.9
10.3,88.1,8.6,59.8
14.0,81.4,6.5,93.9
9.5,100.0,4.7,64.3
12.8,86.5,3.3,81.4
1.7,93.0,6.6,51.2
16.5,100.0,4.9,72.4
15.0,87.6,3.4,76.2
9.3,79.6,8.5,65.8
19.6,100.0,3.9,99.1
21.6,89.4,4.7,100.0
3.7,91.4,6.2,45.1
9.7,95.4,4.2,78.9
9.6,94.2,7.7,62.5
8.4,100.0,5.1,53.7
20.8,75.3,3.2,85.9
13.6,77.6,6.5,79.8
13.1,86.0,6.2,81.4
1.0,100.0,6.5,45.4
19.4,86.2,7.2,100.0
6.3,82.7,7.3,61.9
15.4,90.4,3.4,84.1
16.9,81.1,7.9,93.6
24.5,78.9,4.1,100.0
5.8,70.2,2.0,66.4
0.0,100.0,8.6,52.5
16.3,65.4,6.7,94.0
27.6,87.9,1.8,100.0
23.7,93.6,4.8,100.0
16.5,88.6,4.5,98.1
11.6,85.1,4.9,61.1
20.6,70.2,0.0,100.0
8.2,72.7,5.1,58.0
18.3,83.9,5.3,98.9
18.5,68.3,7.9,72.8
22.4,65.6,4.9,91.3
34.3,81.6,4.2,100.0
17.7,77.9,7.4,90.1
11.4,82.7,6.7,74.4
14.8,67.7,7.0,91.2
2.6,62.5,4.3,67.3
10.1,82.4,4.5,67.3
12.1,76.2,10.0,67.0
11.3,94.0,5.2,75.6
16.1,76.9,4.2,74.5
9.2,94.6,6.5,79.9
22.8,62.2,8.6,100.0
15.0,84.6,5.7,94.1
14.9,75.8,9.3,85.0
12.7,97.4,6.5,79.1
16.1,81.8,6.0,94.7
20.8,89.0,5.0,100.0
8.9,77.9,1.8,73.4
10.4,100.0,3.6,82.2
12.9,71.2,4.8,76.2
5.6,88.1,3.8,64.1
9.3,88.2,2.7,63.3
11.7,95.5,3.5,81.5
21.1,97.1,6.7,83.2
16.8,87.9,5.8,83.6
16.4,100.0,7.3,95.6
21.0,86.7,4.3,100.0
14.0,89.7,7.0,79.6
17.7,100.0,7.7,89.1
14.3,75.0,3.6,93.4
16.9,82.9,4.0,92.5
10.9,82.0,9.2,77.1
0.0,93.4,7.0,50.2
14.1,91.2,9.2,82.5
25.0,84.6,4.9,100.0
21.5,91.6,1.6,98.9
21.8,84.0,4.9,100.0
23.7,88.0,6.2,100.0
15.6,90.3,4.5,73.9
16.4,60.0,4.2,95.4
10.7,92.4,3.9,75.7
12.8,82.4,4.9,87.0
19.3,91.4,5.1,100.0
23.4,68.5,1.1,100.0
14.0,88.6,9.4,97.5
11.8,80.5,3.1,69.6
15.0,89.0,7.3,100.0
19.2,86.1,4.3,100.0
4.9,74.2,6.0,87.6
0.0,77.9,5.2,51.2
11.1,90.0,5.6,65.3
6.5,83.8,7.5,69.2
11.4,85.6,3.9,63.1
14.0,60.5,5.0,71.5
11.8,84.1,7.3,77.2
25.2,88.8,6.6,87.9
17.3,100.0,8.4,95.7
17.1,88.6,7.7,100.0
19.4,78.0,4.5,100.0
7.0,92.8,8.0,78.4
22.3,98.7,5.2,96.5
14.5,95.5,6.2,86.0
19.7,80.7,7.6,100.0
7.5,97.1,5.1,60.6
4.1,82.0,5.8,64.5
20.7,76.0,4.3,99.1
17.6,98.9,6.2,100.0
8.7,85.8,10.0,64.3
8.9,74.9,3.6,63.4
22.9,86.8,6.9,100.0
6.7,75.7,6.7,76.9
26.5,81.7,5.4,100.0
8.7,95.7,4.8,85.1
19.5,83.3,8.2,100.0
12.7,80.9,7.1,79.5
19.2,98.8,3.3,83.0
11.2,74.3,5.7,89.6
13.9,89.7,4.3,84.3
15.3,79.7,3.9,93.6
8.0,83.5,7.5,76.9
20.2,79.8,9.5,100.0
11.4,65.3,5.5,100.0
13.4,94.2,5.6,87.6
8.0,72.7,7.9,76.7
0.0,79.8,2.7,14.6
13.7,82.1,1.0,91.3
31.9,81.8,4.9,100.0
20.5,71.7,8.9,100.0
14.9,83.0,6.6,65.2
13.2,85.0,5.9,80.3
15.2,87.5,6.7,88.3
18.8,82.0,5.7,100.0
6.7,87.1,8.1,73.3
22.8,86.8,6.7,100.0
20.0,82.6,8.6,100.0
20.0,99.6,7.1,92.6
18.1,64.5,8.6,100.0
15.1,74.6,5.0,98.2
19.7,89.8,6.0,95.8
19.1,83.1,10.0,98.9
12.5,76.3,6.3,89.6
11.0,100.0,4.1,83.4
15.7,97.2,6.8,95.4
25.8,69.6,2.7,100.0
6.3,82.7,3.7,69.2
4.7,90.7,8.8,68.1
16.2,86.9,5.9,92.6
15.4,78.8,3.8,82.7
16.2,87.8,7.6,78.5
16.7,72.9,3.2,79.5
13.4,92.3,3.6,85.0
25.4,94.0,8.7,100.0
3.8,90.2,4.6,55.2
9.2,91.3,8.4,77.3
14.3,92.0,8.4,79.6
3.5,82.6,3.2,46.1
13.8,91.6,6.1,90.6
26.6,88.0,9.8,100.0
15.1,88.5,8.2,87.5
16.6,85.4,4.9,90.3
6.2,93.6,7.8,62.9
10.7,76.0,5.1,74.4
12.4,72.5,4.8,87.9
12.8,77.7,6.9,83.4
24.0,99.3,9.5,100.0
18.9,76.9,4.3,100.0
7.2,86.7,7.3,59.0
16.7,88.6,3.5,100.0
18.5,100.0,7.7,92.5
23.0,71.9,7.7,93.8
26.1,79.3,8.2,100.0
7.9,78.0,6.3,75.0
9.3,81.3,5.6,55.1
6.2,84.3,4.8,85.7
13.4,97.8,6.6,72.3
18.3,78.1,6.2,93.3
21.9,100.0,7.8,100.0
14.5,86.9,2.7,75.9
12.8,71.4,3.0,88.8
16.1,72.7,9.0,99.1
9.2,100.0,4.0,57.4
29.6,93.9,6.1,100.0
3.7,72.3,8.3,63.0
16.3,69.0,9.5,93.2
29.2,100.0,2.9,100.0
15.0,79.1,2.5,88.9
13.7,91.3,3.0,86.8
12.5,83.6,6.8,84.8
13.7,80.5,6.9,80.2
24.6,94.4,4.5,100.0
0.0,74.9,5.3,50.4
25.7,96.2,10.0,100.0
5.0,91.3,5.1,65.3
13.1,65.4,6.3,96.0
12.0,92.0,9.8,72.6
19.1,91.7,4.2,94.7
3.8,85.1,10.0,45.2
18.2,100.0,6.0,92.4
29.2,89.1,7.4,100.0
5.5,100.0,5.4,61.9
16.3,85.1,7.2,72.5
10.4,96.6,4.0,62.7
18.0,100.0,9.8,93.8
15.1,72.0,9.8,77.2
10.5,98.5,6.9,69.5
18.4,96.8,1.8,100.0
27.6,90.0,6.5,99.2
13.7,74.0,6.4,91.2
20.0,84.0,4.7,100.0
5.9,87.8,7.1,71.9
8.3,97.4,9.0,55.2
18.3,91.9,5.2,100.0
25.4,95.6,6.5,100.0
17.5,77.0,7.0,81.8
12.8,75.6,8.9,93.3
15.0,67.0,5.0,85.1
6.2,88.8,7.6,82.9
19.2,77.1,5.3,100.0
21.2,69.9,2.5,89.7
11.8,73.0,5.6,82.2
11.7,76.9,8.9,67.0
16.9,100.0,3.8,92.0
11.9,86.7,7.9,83.5
14.5,91.3,8.5,91.4
29.7,88.7,7.5,100.0
13.3,87.7,8.3,77.4
12.5,67.7,6.8,94.2
10.5,83.4,8.7,76.7
20.2,86.8,4.6,95.9
13.7,80.0,5.4,74.7
10.5,80.7,7.0,73.8
24.2,81.3,6.3,97.7
24.9,83.7,2.3,100.0
10.8,100.0,7.2,91.1
1.9,78.1,5.1,65.2
22.1,89.0,4.0,99.5
10.2,75.8,5.7,75.9
20.5,63.4,7.8,94.6
1.2,96.8,3.3,65.2
21.2,75.3,5.7,99.5
6.5,71.4,6.0,67.5
20.1,79.7,9.3,100.0
15.1,95.6,7.5,86.4
8.3,87.9,4.4,73.9
12.2,100.0,5.2,86.1
19.8,95.1,5.8,95.4
15.7,71.4,9.8,78.6
19.1,80.5,7.2,100.0
28.8,76.6,8.2,100.0
4.1,72.7,2.6,64.8
26.3,95.9,3.9,100.0
15.7,68.8,10.0,89.1
8.7,82.5,2.3,79.8
5.7,91.4,5.5,42.3
13.7,71.5,6.0,67.3
21.5,86.7,3.0,100.0
14.1,93.7,6.6,68.8
25.6,65.5,8.8,99.4
4.8,93.1,5.9,66.3
14.9,82.8,3.2,85.6
6.2,80.9,5.9,80.8
17.5,93.5,2.0,100.0
21.2,100.0,3.4,100.0
12.1,70.5,7.8,76.6
0.0,95.4,4.4,34.9
16.4,90.5,8.1,77.9
18.1,81.9,5.2,82.4
17.8,87.4,6.3,82.0
23.7,78.4,8.5,100.0
7.5,71.1,4.4,55.3
19.8,100.0,6.1,85.8
23.3,100.0,3.2,100.0
2.5,98.3,9.3,63.7
17.2,74.4,4.2,88.3
11.5,88.0,5.3,90.4
14.4,100.0,5.2,89.8
17.4,75.8,6.7,100.0
11.6,84.2,7.4,90.1
10.3,84.9,8.2,68.5
15.2,82.0,7.0,87.4
7.4,69.4,8.4,86.4
7.4,80.3,6.9,56.5
19.8,91.3,7.7,88.6
7.0,95.2,4.0,87.0
19.7,91.4,3.0,100.0
18.2,83.7,6.6,100.0
2.9,89.5,5.6,58.5
10.3,100.0,6.5,72.3
23.4,99.1,5.9,93.5
8.1,96.1,4.3,83.9
11.7,93.6,5.2,70.8
18.2,95.7,7.0,100.0
20.5,66.7,4.3,98.8
13.2,71.5,6.1,100.0
10.8,86.1,4.9,85.5
25.0,80.8,7.1,100.0
27.2,95.3,8.5,100.0
21.9,81.4,7.6,100.0
15.6,62.4,6.3,97.1
9.3,78.8,7.1,89.1
9.2,91.3,4.8,81.9
18.7,93.7,4.9,93.9
17.9,80.0,4.0,98.3
24.8,66.8,4.2,100.0
19.6,90.6,1.8,100.0
4.5,88.6,6.1,35.2
22.4,88.3,5.8,100.0
8.0,88.3,2.9,77.0
12.3,79.9,6.3,76.9
16.8,79.8,5.1,86.0
29.0,81.3,5.6,100.0
36.8,81.0,8.5,100.0
19.2,81.9,9.4,92.6
13.7,100.0,5.7,74.3
18.7,78.1,6.6,91.8
21.2,90.1,3.9,96.7
12.8,79.6,3.9,77.5
27.6,93.5,3.8,100.0
16.6,74.8,3.7,100.0
18.5,100.0,5.5,100.0
19.7,98.4,9.3,100.0
18.0,88.3,7.4,99.7
20.9,80.0,5.9,97.6
10.7,67.2,6.0,80.1
11.1,88.0,4.6,88.4
7.3,85.7,6.1,66.3
18.1,76.7,3.7,100.0
20.5,85.9,6.5,100.0
18.2,68.6,6.1,100.0
26.7,100.0,3.4,97.2
15.0,83.2,10.0,100.0
19.7,100.0,6.4,100.0
7.4,66.1,4.5,69.8
12.3,82.7,6.6,73.9
19.9,68.5,7.5,100.0
20.9,75.0,4.8,100.0
12.9,96.6,3.5,89.9
14.5,100.0,7.2,89.8
4.4,91.9,8.0,66.9
12.5,79.6,5.4,90.0
21.2,88.7,6.2,98.7
19.0,86.9,6.7,94.9
18.5,92.0,5.9,85.2
15.3,83.1,8.3,90.5
15.0,73.4,5.6,96.5
10.4,79.4,10.0,84.3
19.9,81.3,4.0,95.8
17.9,89.0,4.6,85.4
18.4,82.1,7.8,98.8
11.3,95.9,4.7,91.8
0.0,88.2,5.4,24.3
22.7,94.9,6.4,100.0
11.6,80.9,8.5,65.9
9.0,67.2,7.3,69.6
19.9,87.2,4.7,100.0
12.3,67.5,6.9,85.8
22.4,94.0,6.7,100.0
19.3,93.4,7.8,98.9
19.8,81.2,9.3,100.0
5.4,92.5,6.1,83.6
23.5,94.8,1.2,100.0
16.8,81.4,7.3,81.7
12.4,87.5,8.5,80.4
16.0,73.3,7.6,100.0
2.6,96.8,5.4,61.8
17.9,69.7,6.0,100.0
7.8,78.3,8.3,78.7
5.5,93.1,7.9,66.4
4.3,83.7,6.4,63.9
22.8,98.7,7.4,100.0
10.6,100.0,6.7,54.7
25.7,75.3,2.0,100.0
11.2,66.6,6.2,63.4
3.0,100.0,5.7,53.2
7.2,89.3,7.1,74.1
23.7,100.0,7.3,100.0
13.9,100.0,8.1,91.2
11.2,92.0,2.8,77.5
16.1,93.5,7.4,89.1
18.5,92.7,7.0,100.0
22.8,92.2,7.2,100.0
25.1,80.0,7.9,100.0
12.5,97.9,4.0,97.1
5.7,85.7,6.0,60.5
12.1,90.0,3.9,82.6
16.8,86.3,8.1,93.4
8.3,93.9,3.7,73.6
8.3,90.3,2.9,80.8
17.4,87.8,6.1,74.2
14.7,75.5,9.5,77.9
15.2,81.9,2.4,98.8
9.7,86.0,6.3,80.2
13.4,79.8,5.8,80.4
8.5,90.7,6.2,87.6
21.2,92.5,4.3,100.0
22.2,62.8,4.8,91.7
2.1,72.9,6.3,46.2
8.5,76.0,4.7,83.6
4.5,80.6,2.3,54.9
10.4,80.2,6.6,67.6
14.4,81.7,1.8,86.6
4.9,86.5,6.8,44.0
8.5,89.2,5.4,71.4
8.0,91.9,8.2,87.5
16.5,79.7,5.1,100.0
15.5,75.6,5.0,97.6
9.9,98.5,5.8,75.4
16.2,99.6,4.6,84.1
11.2,71.3,7.0,83.3
13.1,83.1,7.5,92.9
26.7,100.0,6.0,100.0
24.4,85.4,5.0,100.0
5.9,68.2,8.9,63.3
20.8,74.3,6.1,96.1
20.7,82.4,6.3,94.3
7.0,76.2,6.7,73.8
20.7,92.1,5.6,96.9
25.8,86.8,3.3,100.0
7.1,87.5,2.9,57.7
8.6,70.9,4.7,70.3
22.1,71.9,5.8,100.0
16.9,81.2,6.5,86.7
18.9,80.3,6.8,96.8
17.4,88.7,2.7,100.0
17.7,87.5,7.5,100.0
5.7,93.2,6.8,72.2
22.3,86.5,6.7,99.8
23.2,84.9,6.0,100.0
13.4,83.4,3.5,87.2
14.7,84.0,5.6,84.7
4.3,86.8,4.5,56.1
18.6,92.0,6.7,96.9
19.0,93.3,3.6,100.0
14.6,88.4,9.8,87.8
22.9,78.6,9.8,100.0
12.7,75.1,6.7,79.5
19.0,77.2,7.9,99.5
7.9,86.9,9.3,79.6
14.8,93.6,9.2,94.9
13.8,63.9,7.9,73.8
16.6,69.1,4.9,88.1
12.4,100.0,8.0,67.6
14.1,84.1,5.4,100.0
20.8,86.9,2.8,100.0
11.9,71.1,6.4,84.7
3.8,76.6,4.2,67.7
27.2,81.0,4.0,100.0
24.7,74.3,9.4,99.6
6.0,68.7,7.1,53.9
19.8,93.4,5.8,98.4
11.5,85.0,10.0,81.2
16.8,80.1,7.2,99.7
17.1,93.0,5.7,100.0
13.4,93.0,6.8,89.9
9.5,100.0,6.9,87.0
10.2,84.9,5.2,73.1
8.6,75.9,8.2,61.1
9.2,80.9,4.4,69.2
14.5,99.8,6.0,83.2
10.0,77.8,4.0,68.4
19.8,80.1,3.6,100.0
25.4,96.4,4.3,100.0
10.9,83.7,7.7,62.6
16.7,100.0,4.7,67.9
18.5,98.6,4.9,97.5
18.3,90.5,5.8,90.6
15.5,92.4,4.7,72.0
20.2,80.5,6.9,100.0
18.4,80.8,4.3,100.0
6.3,98.5,4.4,77.2
21.1,93.9,4.9,100.0
21.2,96.2,7.7,100.0
9.7,88.6,4.6,73.5
15.3,84.5,4.5,85.0
19.8,78.6,6.7,75.2
13.5,91.2,2.4,64.0
22.5,73.5,3.4,100.0
31.5,95.8,8.1,100.0
9.5,84.5,7.9,81.5
5.3,93.9,4.6,60.9
17.1,95.6,6.4,76.5
20.1,80.0,8.7,87.3
13.4,87.9,6.2,74.0
25.2,87.3,5.8,100.0
5.6,76.4,4.8,74.9
19.9,99.9,6.2,96.9
10.8,90.2,4.6,88.5
27.0,78.4,4.6,100.0
28.9,85.8,3.9,100.0
9.6,76.1,9.1,82.0
11.2,100.0,8.1,81.2
21.0,89.9,1.8,100.0
12.3,86.3,5.5,95.0
14.7,78.3,8.6,87.5
15.2,100.0,2.9,95.0
1.6,85.8,6.0,61.9
14.9,96.8,6.0,78.3
10.2,87.3,5.4,73.3
11.5,90.3,4.2,94.1
25.1,82.7,8.8,100.0
6.2,83.0,2.3,72.9
20.7,90.4,7.8,100.0
13.0,69.2,5.2,97.9
13.0,79.6,7.8,85.8
20.5,83.9,7.2,100.0
17.4,100.0,7.7,98.0
19.0,86.3,6.0,100.0
21.8,100.0,6.9,93.7
12.7,67.7,9.3,81.1
10.7,75.9,5.5,76.6
7.4,92.1,5.7,61.7
9.2,71.3,10.0,69.9
35.6,81.4,8.8,100.0
23.7,88.3,6.8,100.0
5.5,78.4,5.2,71.4
5.7,83.9,5.8,58.7
18.4,75.5,6.3,100.0
18.8,96.3,9.3,100.0
18.8,80.6,5.1,81.5
13.2,69.9,8.1,99.8
14.1,77.0,7.7,70.3
17.3,66.1,6.0,88.4
15.6,71.7,6.7,100.0
0.0,85.5,7.8,34.4
13.4,86.9,8.4,81.7
9.0,80.4,9.4,66.9
16.2,90.3,7.2,100.0
35.9,98.7,6.1,100.0
17.6,89.8,4.1,92.9
12.8,80.0,1.6,83.7
21.5,87.6,3.9,100.0
18.4,84.1,6.3,99.0
17.9,92.1,5.5,100.0
19.2,88.9,5.5,82.7
29.4,79.5,7.1,100.0
7.1,75.0,5.9,74.5
18.3,88.8,3.4,98.3
8.5,94.5,7.0,76.0
18.9,99.1,5.1,87.2
8.6,83.8,5.3,71.0
12.1,88.9,7.1,84.1
12.9,98.4,7.0,93.2
21.8,94.0,4.6,100.0
21.4,81.6,4.9,100.0
6.3,88.8,9.8,63.7
15.4,85.1,2.2,85.6
10.0,79.9,8.0,79.9
6.2,80.7,6.0,59.4
13.5,85.7,8.3,83.2
12.8,79.3,5.8,90.3
32.0,81.0,5.0,100.0
18.0,95.7,4.2,89.6
5.4,69.2,10.0,49.3
11.0,85.4,5.9,86.4
22.1,83.8,4.1,100.0
29.6,74.9,4.1,100.0
3.9,86.9,5.2,66.1
1.8,79.9,7.1,36.0
28.1,95.0,4.2,100.0
17.7,87.7,4.5,100.0
8.9,90.7,8.2,74.3
18.7,69.2,2.7,98.5
0.0,72.4,5.5,48.9
15.0,100.0,6.9,98.0
17.3,89.7,7.1,95.4
21.5,78.6,4.1,100.0
7.9,100.0,5.8,65.7
15.6,84.8,5.1,98.1
8.5,80.7,5.0,87.8
16.8,80.3,6.6,82.1
8.7,70.9,5.2,59.2
12.1,90.8,7.0,99.2
8.0,94.6,8.0,55.2
19.6,97.1,4.2,92.1
21.0,76.7,2.9,89.2
13.4,85.3,6.5,76.8
15.3,79.0,4.0,100.0
4.9,85.0,5.6,71.1
12.9,79.7,9.4,92.4
14.6,70.9,3.5,76.7
33.3,100.0,3.4,100.0
7.2,85.6,6.3,72.6
25.2,91.6,6.2,100.0
22.0,100.0,6.1,91.0
17.0,86.5,4.0,90.2
27.3,100.0,3.2,100.0
17.6,91.5,9.5,100.0
17.7,61.1,6.4,100.0
14.6,80.0,6.5,79.5
23.6,67.2,6.8,100.0
22.7,80.6,8.1,100.0
10.6,73.9,10.0,53.1
5.8,94.8,6.8,52.5
13.6,84.5,9.1,73.7
9.4,76.8,5.0,81.5
14.6,95.4,4.1,94.6
23.7,82.4,7.2,100.0
11.8,89.0,5.9,75.4
14.7,73.5,4.3,100.0
15.4,81.3,3.5,89.3
20.9,92.4,7.0,100.0
0.0,100.0,6.0,61.6
10.8,85.5,7.3,82.2
16.5,90.0,7.6,97.3
23.4,100.0,6.2,100.0
11.6,66.9,4.4,78.6
1.9,83.8,6.1,56.0
19.3,90.6,4.6,95.2
10.6,79.6,3.1,88.4
6.7,78.6,5.6,55.3
10.6,65.5,7.4,67.7
13.7,97.7,2.8,68.7
10.8,68.1,5.1,68.5
0.0,89.4,6.6,43.8
21.3,88.0,2.7,100.0
23.9,76.3,8.5,98.1
19.6,78.0,8.2,88.6
7.0,93.7,8.1,83.7
13.6,87.3,5.6,94.6
15.0,81.5,6.0,65.0
19.2,80.8,3.5,84.3
19.7,76.7,4.3,98.4
9.9,92.5,6.7,66.5
